"","GEOID","Time.Period","County","Claims","Events","Comutting.Zone","Shoreline","cz"
"82","01039963000","2015_2019","01039",0,0,"Troy",0,"11102"
"83","01053969800","2010_2014","01053",0,0,"Atmore",0,"11002"
"84","01053969800","2015_2019","01053",1,0,"Atmore",0,"11002"
"85","01053970300","2010_2014","01053",0,0,"Atmore",0,"11002"
"86","01053970300","2015_2019","01053",0,0,"Atmore",0,"11002"
"87","01053970400","2010_2014","01053",0,0,"Atmore",0,"11002"
"88","01053970400","2015_2019","01053",1,0,"Atmore",0,"11002"
"89","01053970500","2010_2014","01053",6,0,"Atmore",0,"11002"
"90","01053970500","2015_2019","01053",0,0,"Atmore",0,"11002"
"91","01061050100","2010_2014","01061",0,0,"Dothan",0,"10302"
"92","01061050100","2015_2019","01061",1,0,"Dothan",0,"10302"
"93","01061050300","2010_2014","01061",9,0,"Dothan",0,"10302"
"94","01061050300","2015_2019","01061",1,0,"Dothan",0,"10302"
"95","01061050400","2010_2014","01061",5,0,"Dothan",0,"10302"
"96","01061050400","2015_2019","01061",1,0,"Dothan",0,"10302"
"97","01061050600","2010_2014","01061",1,0,"Dothan",0,"10302"
"98","01061050600","2015_2019","01061",0,0,"Dothan",0,"10302"
"99","01097000200","2010_2014","01097",8,0,"Mobile",1,"11001"
"100","01097000200","2015_2019","01097",12,0,"Mobile",1,"11001"
"101","01097000401","2010_2014","01097",1,0,"Mobile",1,"11001"
"102","01097000401","2015_2019","01097",2,0,"Mobile",1,"11001"
"103","01097000402","2010_2014","01097",0,0,"Mobile",1,"11001"
"104","01097000402","2015_2019","01097",0,0,"Mobile",1,"11001"
"105","01097000500","2010_2014","01097",0,0,"Mobile",1,"11001"
"106","01097000500","2015_2019","01097",3,0,"Mobile",1,"11001"
"107","01097000600","2010_2014","01097",1,0,"Mobile",1,"11001"
"108","01097000600","2015_2019","01097",2,0,"Mobile",1,"11001"
"109","01097000701","2010_2014","01097",2,0,"Mobile",1,"11001"
"110","01097000701","2015_2019","01097",0,0,"Mobile",1,"11001"
"111","01097000702","2010_2014","01097",2,0,"Mobile",1,"11001"
"112","01097000702","2015_2019","01097",1,0,"Mobile",1,"11001"
"113","01097000800","2010_2014","01097",0,0,"Mobile",1,"11001"
"114","01097000800","2015_2019","01097",4,0,"Mobile",1,"11001"
"115","01097000901","2010_2014","01097",1,0,"Mobile",1,"11001"
"116","01097000901","2015_2019","01097",0,0,"Mobile",1,"11001"
"117","01097000902","2010_2014","01097",0,0,"Mobile",1,"11001"
"118","01097000902","2015_2019","01097",0,0,"Mobile",1,"11001"
"119","01097000903","2010_2014","01097",0,0,"Mobile",1,"11001"
"120","01097000903","2015_2019","01097",0,0,"Mobile",1,"11001"
"121","01097001001","2010_2014","01097",0,0,"Mobile",1,"11001"
"122","01097001001","2015_2019","01097",0,0,"Mobile",1,"11001"
"123","01097001002","2010_2014","01097",0,0,"Mobile",1,"11001"
"124","01097001002","2015_2019","01097",1,0,"Mobile",1,"11001"
"125","01097001100","2010_2014","01097",9,0,"Mobile",1,"11001"
"126","01097001100","2015_2019","01097",0,0,"Mobile",1,"11001"
"127","01097001200","2010_2014","01097",3,0,"Mobile",1,"11001"
"128","01097001200","2015_2019","01097",2,0,"Mobile",1,"11001"
"129","01097001302","2010_2014","01097",0,0,"Mobile",1,"11001"
"130","01097001302","2015_2019","01097",0,0,"Mobile",1,"11001"
"131","01097001400","2010_2014","01097",3,0,"Mobile",1,"11001"
"132","01097001400","2015_2019","01097",1,0,"Mobile",1,"11001"
"133","01097001501","2010_2014","01097",0,0,"Mobile",1,"11001"
"134","01097001501","2015_2019","01097",0,0,"Mobile",1,"11001"
"135","01097001502","2010_2014","01097",0,0,"Mobile",1,"11001"
"136","01097001502","2015_2019","01097",0,0,"Mobile",1,"11001"
"137","01097001800","2010_2014","01097",4,0,"Mobile",1,"11001"
"138","01097001800","2015_2019","01097",5,0,"Mobile",1,"11001"
"139","01097001901","2010_2014","01097",3,0,"Mobile",1,"11001"
"140","01097001901","2015_2019","01097",4,0,"Mobile",1,"11001"
"141","01097001902","2010_2014","01097",9,0,"Mobile",1,"11001"
"142","01097001902","2015_2019","01097",10,0,"Mobile",1,"11001"
"143","01097002000","2010_2014","01097",12,0,"Mobile",1,"11001"
"144","01097002000","2015_2019","01097",25,0,"Mobile",1,"11001"
"145","01097002100","2010_2014","01097",0,0,"Mobile",1,"11001"
"146","01097002100","2015_2019","01097",0,0,"Mobile",1,"11001"
"147","01097002200","2010_2014","01097",3,0,"Mobile",1,"11001"
"148","01097002200","2015_2019","01097",1,0,"Mobile",1,"11001"
"149","01097002301","2010_2014","01097",7,0,"Mobile",1,"11001"
"150","01097002301","2015_2019","01097",3,0,"Mobile",1,"11001"
"151","01097002302","2010_2014","01097",1,0,"Mobile",1,"11001"
"152","01097002302","2015_2019","01097",0,0,"Mobile",1,"11001"
"153","01097002400","2010_2014","01097",0,0,"Mobile",1,"11001"
"154","01097002400","2015_2019","01097",2,0,"Mobile",1,"11001"
"155","01097002501","2010_2014","01097",1,0,"Mobile",1,"11001"
"156","01097002501","2015_2019","01097",0,0,"Mobile",1,"11001"
"157","01097002502","2010_2014","01097",5,0,"Mobile",1,"11001"
"158","01097002502","2015_2019","01097",5,0,"Mobile",1,"11001"
"159","01097002600","2010_2014","01097",0,0,"Mobile",1,"11001"
"160","01097002600","2015_2019","01097",1,0,"Mobile",1,"11001"
"161","01097002700","2010_2014","01097",0,0,"Mobile",1,"11001"
"162","01097002700","2015_2019","01097",0,0,"Mobile",1,"11001"
"163","01097002800","2010_2014","01097",3,0,"Mobile",1,"11001"
"164","01097002800","2015_2019","01097",2,0,"Mobile",1,"11001"
"165","01097002900","2010_2014","01097",0,0,"Mobile",1,"11001"
"166","01097002900","2015_2019","01097",0,0,"Mobile",1,"11001"
"167","01097003000","2010_2014","01097",0,0,"Mobile",1,"11001"
"168","01097003000","2015_2019","01097",0,0,"Mobile",1,"11001"
"169","01097003100","2010_2014","01097",4,0,"Mobile",1,"11001"
"170","01097003100","2015_2019","01097",0,0,"Mobile",1,"11001"
"171","01097003202","2010_2014","01097",3,0,"Mobile",1,"11001"
"172","01097003202","2015_2019","01097",4,0,"Mobile",1,"11001"
"173","01097003203","2010_2014","01097",2,0,"Mobile",1,"11001"
"174","01097003203","2015_2019","01097",0,0,"Mobile",1,"11001"
"175","01097003204","2010_2014","01097",0,0,"Mobile",1,"11001"
"176","01097003204","2015_2019","01097",0,0,"Mobile",1,"11001"
"177","01097003205","2010_2014","01097",0,0,"Mobile",1,"11001"
"178","01097003205","2015_2019","01097",0,0,"Mobile",1,"11001"
"179","01097003301","2010_2014","01097",5,0,"Mobile",1,"11001"
"180","01097003301","2015_2019","01097",11,0,"Mobile",1,"11001"
"181","01097003302","2010_2014","01097",1,0,"Mobile",1,"11001"
"182","01097003302","2015_2019","01097",1,0,"Mobile",1,"11001"
"183","01097003402","2010_2014","01097",0,0,"Mobile",1,"11001"
"184","01097003402","2015_2019","01097",0,0,"Mobile",1,"11001"
"185","01097003404","2010_2014","01097",2,0,"Mobile",1,"11001"
"186","01097003404","2015_2019","01097",0,0,"Mobile",1,"11001"
"187","01097003405","2010_2014","01097",1,0,"Mobile",1,"11001"
"188","01097003405","2015_2019","01097",0,0,"Mobile",1,"11001"
"189","01097003406","2010_2014","01097",1,0,"Mobile",1,"11001"
"190","01097003406","2015_2019","01097",0,0,"Mobile",1,"11001"
"191","01097003407","2010_2014","01097",0,0,"Mobile",1,"11001"
"192","01097003407","2015_2019","01097",0,0,"Mobile",1,"11001"
"193","01097003408","2010_2014","01097",0,0,"Mobile",1,"11001"
"194","01097003408","2015_2019","01097",0,0,"Mobile",1,"11001"
"195","01097003501","2010_2014","01097",0,0,"Mobile",1,"11001"
"196","01097003501","2015_2019","01097",1,0,"Mobile",1,"11001"
"197","01097003502","2010_2014","01097",1,0,"Mobile",1,"11001"
"198","01097003502","2015_2019","01097",0,0,"Mobile",1,"11001"
"199","01097003602","2010_2014","01097",0,0,"Mobile",1,"11001"
"200","01097003602","2015_2019","01097",0,0,"Mobile",1,"11001"
"201","01097003605","2010_2014","01097",0,0,"Mobile",1,"11001"
"202","01097003605","2015_2019","01097",0,0,"Mobile",1,"11001"
"203","01097003606","2010_2014","01097",0,0,"Mobile",1,"11001"
"204","01097003606","2015_2019","01097",0,0,"Mobile",1,"11001"
"205","01097003607","2010_2014","01097",6,0,"Mobile",1,"11001"
"206","01097003607","2015_2019","01097",4,0,"Mobile",1,"11001"
"207","01097003608","2010_2014","01097",0,0,"Mobile",1,"11001"
"208","01097003608","2015_2019","01097",0,0,"Mobile",1,"11001"
"209","01097003703","2010_2014","01097",0,0,"Mobile",1,"11001"
"210","01097003703","2015_2019","01097",1,0,"Mobile",1,"11001"
"211","01097003704","2010_2014","01097",0,0,"Mobile",1,"11001"
"212","01097003704","2015_2019","01097",0,0,"Mobile",1,"11001"
"213","01097003705","2010_2014","01097",0,0,"Mobile",1,"11001"
"214","01097003705","2015_2019","01097",0,0,"Mobile",1,"11001"
"215","01097003706","2010_2014","01097",0,0,"Mobile",1,"11001"
"216","01097003706","2015_2019","01097",0,0,"Mobile",1,"11001"
"217","01097003707","2010_2014","01097",4,0,"Mobile",1,"11001"
"218","01097003707","2015_2019","01097",1,0,"Mobile",1,"11001"
"219","01097003708","2010_2014","01097",4,0,"Mobile",1,"11001"
"220","01097003708","2015_2019","01097",2,0,"Mobile",1,"11001"
"221","01097003709","2010_2014","01097",4,0,"Mobile",1,"11001"
"222","01097003709","2015_2019","01097",4,0,"Mobile",1,"11001"
"223","01097003710","2010_2014","01097",1,0,"Mobile",1,"11001"
"224","01097003710","2015_2019","01097",2,0,"Mobile",1,"11001"
"225","01097003800","2010_2014","01097",0,0,"Mobile",1,"11001"
"226","01097003800","2015_2019","01097",0,0,"Mobile",1,"11001"
"227","01097003901","2010_2014","01097",1,0,"Mobile",1,"11001"
"228","01097003901","2015_2019","01097",0,0,"Mobile",1,"11001"
"229","01097003902","2010_2014","01097",0,0,"Mobile",1,"11001"
"230","01097003902","2015_2019","01097",0,0,"Mobile",1,"11001"
"231","01097004000","2010_2014","01097",1,0,"Mobile",1,"11001"
"232","01097004000","2015_2019","01097",0,0,"Mobile",1,"11001"
"233","01097004100","2010_2014","01097",0,0,"Mobile",1,"11001"
"234","01097004100","2015_2019","01097",0,0,"Mobile",1,"11001"
"235","01097004800","2010_2014","01097",1,0,"Mobile",1,"11001"
"236","01097004800","2015_2019","01097",0,0,"Mobile",1,"11001"
"237","01097004900","2010_2014","01097",1,0,"Mobile",1,"11001"
"238","01097004900","2015_2019","01097",0,0,"Mobile",1,"11001"
"239","01097005000","2010_2014","01097",1,0,"Mobile",1,"11001"
"240","01097005000","2015_2019","01097",0,0,"Mobile",1,"11001"
"241","01097005100","2010_2014","01097",1,0,"Mobile",1,"11001"
"242","01097005100","2015_2019","01097",0,0,"Mobile",1,"11001"
"243","01097005200","2010_2014","01097",0,0,"Mobile",1,"11001"
"244","01097005200","2015_2019","01097",0,0,"Mobile",1,"11001"
"245","01097005300","2010_2014","01097",1,0,"Mobile",1,"11001"
"246","01097005300","2015_2019","01097",5,0,"Mobile",1,"11001"
"247","01097005400","2010_2014","01097",1,0,"Mobile",1,"11001"
"248","01097005400","2015_2019","01097",6,0,"Mobile",1,"11001"
"249","01097005500","2010_2014","01097",2,0,"Mobile",1,"11001"
"250","01097005500","2015_2019","01097",6,0,"Mobile",1,"11001"
"251","01097005600","2010_2014","01097",1,0,"Mobile",1,"11001"
"252","01097005600","2015_2019","01097",10,0,"Mobile",1,"11001"
"253","01097005700","2010_2014","01097",1,0,"Mobile",1,"11001"
"254","01097005700","2015_2019","01097",1,0,"Mobile",1,"11001"
"255","01097005800","2010_2014","01097",0,0,"Mobile",1,"11001"
"256","01097005800","2015_2019","01097",1,0,"Mobile",1,"11001"
"257","01097005900","2010_2014","01097",0,0,"Mobile",1,"11001"
"258","01097005900","2015_2019","01097",0,0,"Mobile",1,"11001"
"259","01097006000","2010_2014","01097",0,0,"Mobile",1,"11001"
"260","01097006000","2015_2019","01097",0,0,"Mobile",1,"11001"
"261","01097006102","2010_2014","01097",0,0,"Mobile",1,"11001"
"262","01097006102","2015_2019","01097",0,0,"Mobile",1,"11001"
"263","01097006103","2010_2014","01097",1,0,"Mobile",1,"11001"
"264","01097006103","2015_2019","01097",0,0,"Mobile",1,"11001"
"265","01097006104","2010_2014","01097",0,0,"Mobile",1,"11001"
"266","01097006104","2015_2019","01097",0,0,"Mobile",1,"11001"
"267","01097006105","2010_2014","01097",0,0,"Mobile",1,"11001"
"268","01097006105","2015_2019","01097",1,0,"Mobile",1,"11001"
"269","01097006200","2010_2014","01097",0,0,"Mobile",1,"11001"
"270","01097006200","2015_2019","01097",1,0,"Mobile",1,"11001"
"271","01097006301","2010_2014","01097",1,0,"Mobile",1,"11001"
"272","01097006301","2015_2019","01097",1,0,"Mobile",1,"11001"
"273","01097006302","2010_2014","01097",0,0,"Mobile",1,"11001"
"274","01097006302","2015_2019","01097",0,0,"Mobile",1,"11001"
"275","01097006402","2010_2014","01097",0,0,"Mobile",1,"11001"
"276","01097006402","2015_2019","01097",0,0,"Mobile",1,"11001"
"277","01097006403","2010_2014","01097",3,0,"Mobile",1,"11001"
"278","01097006403","2015_2019","01097",0,0,"Mobile",1,"11001"
"279","01097006404","2010_2014","01097",1,0,"Mobile",1,"11001"
"280","01097006404","2015_2019","01097",1,0,"Mobile",1,"11001"
"281","01097006405","2010_2014","01097",6,0,"Mobile",1,"11001"
"282","01097006405","2015_2019","01097",4,0,"Mobile",1,"11001"
"283","01097006406","2010_2014","01097",3,0,"Mobile",1,"11001"
"284","01097006406","2015_2019","01097",4,0,"Mobile",1,"11001"
"285","01097006407","2010_2014","01097",0,0,"Mobile",1,"11001"
"286","01097006407","2015_2019","01097",0,0,"Mobile",1,"11001"
"287","01097006501","2010_2014","01097",1,0,"Mobile",1,"11001"
"288","01097006501","2015_2019","01097",1,0,"Mobile",1,"11001"
"289","01097006502","2010_2014","01097",2,0,"Mobile",1,"11001"
"290","01097006502","2015_2019","01097",4,0,"Mobile",1,"11001"
"291","01097006600","2010_2014","01097",3,0,"Mobile",1,"11001"
"292","01097006600","2015_2019","01097",5,0,"Mobile",1,"11001"
"293","01097006701","2010_2014","01097",4,0,"Mobile",1,"11001"
"294","01097006701","2015_2019","01097",1,0,"Mobile",1,"11001"
"295","01097006702","2010_2014","01097",1,0,"Mobile",1,"11001"
"296","01097006702","2015_2019","01097",0,0,"Mobile",1,"11001"
"297","01097006801","2010_2014","01097",3,0,"Mobile",1,"11001"
"298","01097006801","2015_2019","01097",4,0,"Mobile",1,"11001"
"299","01097006802","2010_2014","01097",3,0,"Mobile",1,"11001"
"300","01097006802","2015_2019","01097",2,0,"Mobile",1,"11001"
"301","01097006901","2010_2014","01097",4,0,"Mobile",1,"11001"
"302","01097006901","2015_2019","01097",0,0,"Mobile",1,"11001"
"303","01097006902","2010_2014","01097",1,0,"Mobile",1,"11001"
"304","01097006902","2015_2019","01097",1,0,"Mobile",1,"11001"
"305","01097007000","2010_2014","01097",6,0,"Mobile",1,"11001"
"306","01097007000","2015_2019","01097",18,0,"Mobile",1,"11001"
"307","01097007101","2010_2014","01097",1,0,"Mobile",1,"11001"
"308","01097007101","2015_2019","01097",0,0,"Mobile",1,"11001"
"309","01097007102","2010_2014","01097",2,0,"Mobile",1,"11001"
"310","01097007102","2015_2019","01097",2,0,"Mobile",1,"11001"
"311","01097007103","2010_2014","01097",4,0,"Mobile",1,"11001"
"312","01097007103","2015_2019","01097",4,0,"Mobile",1,"11001"
"313","01097007201","2010_2014","01097",2,0,"Mobile",1,"11001"
"314","01097007201","2015_2019","01097",6,0,"Mobile",1,"11001"
"315","01097007202","2010_2014","01097",114,1,"Mobile",1,"11001"
"316","01097007202","2015_2019","01097",283,2,"Mobile",1,"11001"
"317","01097007300","2010_2014","01097",16,0,"Mobile",1,"11001"
"318","01097007300","2015_2019","01097",22,0,"Mobile",1,"11001"
"319","01097007400","2010_2014","01097",4,0,"Mobile",1,"11001"
"320","01097007400","2015_2019","01097",2,0,"Mobile",1,"11001"
"321","01097007500","2010_2014","01097",0,0,"Mobile",1,"11001"
"322","01097007500","2015_2019","01097",0,0,"Mobile",1,"11001"
"323","01097007600","2010_2014","01097",0,0,"Mobile",1,"11001"
"324","01097007600","2015_2019","01097",0,0,"Mobile",1,"11001"
"325","01097007700","2010_2014","01097",0,0,"Mobile",1,"11001"
"326","01097007700","2015_2019","01097",0,0,"Mobile",1,"11001"
"327","01097990000","2010_2014","01097",0,0,"Mobile",1,"11001"
"328","01097990000","2015_2019","01097",0,0,"Mobile",1,"11001"
"329","01099075600","2010_2014","01099",0,0,"Atmore",0,"11002"
"330","01099075600","2015_2019","01099",0,0,"Atmore",0,"11002"
"331","01099075700","2010_2014","01099",0,0,"Atmore",0,"11002"
"332","01099075700","2015_2019","01099",0,0,"Atmore",0,"11002"
"333","01099075900","2010_2014","01099",0,0,"Atmore",0,"11002"
"334","01099075900","2015_2019","01099",0,0,"Atmore",0,"11002"
"335","01099076200","2010_2014","01099",1,0,"Atmore",0,"11002"
"336","01099076200","2015_2019","01099",1,0,"Atmore",0,"11002"
"337","01129043900","2010_2014","01129",0,0,"Mobile",0,"11001"
"338","01129043900","2015_2019","01129",0,0,"Mobile",0,"11001"
"339","01129044000","2010_2014","01129",0,0,"Mobile",0,"11001"
"340","01129044000","2015_2019","01129",0,0,"Mobile",0,"11001"
"341","01129044100","2010_2014","01129",0,0,"Mobile",0,"11001"
"342","01129044100","2015_2019","01129",0,0,"Mobile",0,"11001"
"343","01129044200","2010_2014","01129",0,0,"Mobile",0,"11001"
"344","01129044200","2015_2019","01129",2,0,"Mobile",0,"11001"
"345","01129044300","2010_2014","01129",0,0,"Mobile",0,"11001"
"346","01129044300","2015_2019","01129",0,0,"Mobile",0,"11001"
"347","12033001104","2010_2014","12033",3,0,"Pensacola",1,"10900"
"348","12033001104","2015_2019","12033",1,0,"Pensacola",1,"10900"
"349","12033001201","2010_2014","12033",18,0,"Pensacola",1,"10900"
"350","12033001201","2015_2019","12033",3,0,"Pensacola",1,"10900"
"351","12033001202","2010_2014","12033",4,0,"Pensacola",1,"10900"
"352","12033001202","2015_2019","12033",0,0,"Pensacola",1,"10900"
"353","12033001300","2010_2014","12033",16,0,"Pensacola",1,"10900"
"354","12033001300","2015_2019","12033",0,0,"Pensacola",1,"10900"
"355","12033001402","2010_2014","12033",10,0,"Pensacola",1,"10900"
"356","12033001402","2015_2019","12033",2,0,"Pensacola",1,"10900"
"357","12033002300","2010_2014","12033",47,1,"Pensacola",1,"10900"
"358","12033002300","2015_2019","12033",4,0,"Pensacola",1,"10900"
"359","12033002701","2010_2014","12033",36,1,"Pensacola",1,"10900"
"360","12033002701","2015_2019","12033",1,0,"Pensacola",1,"10900"
"361","12033002703","2010_2014","12033",102,2,"Pensacola",1,"10900"
"362","12033002703","2015_2019","12033",1,0,"Pensacola",1,"10900"
"363","12033002704","2010_2014","12033",62,1,"Pensacola",1,"10900"
"364","12033002704","2015_2019","12033",1,0,"Pensacola",1,"10900"
"365","12033002801","2010_2014","12033",11,0,"Pensacola",1,"10900"
"366","12033002801","2015_2019","12033",0,0,"Pensacola",1,"10900"
"367","12033002802","2010_2014","12033",103,1,"Pensacola",1,"10900"
"368","12033002802","2015_2019","12033",1,0,"Pensacola",1,"10900"
"369","12033002900","2010_2014","12033",9,0,"Pensacola",1,"10900"
"370","12033002900","2015_2019","12033",0,0,"Pensacola",1,"10900"
"371","12033003000","2010_2014","12033",76,1,"Pensacola",1,"10900"
"372","12033003000","2015_2019","12033",0,0,"Pensacola",1,"10900"
"373","12033003100","2010_2014","12033",3,0,"Pensacola",1,"10900"
"374","12033003100","2015_2019","12033",0,0,"Pensacola",1,"10900"
"375","12033003201","2010_2014","12033",12,0,"Pensacola",1,"10900"
"376","12033003201","2015_2019","12033",3,0,"Pensacola",1,"10900"
"377","12033003301","2010_2014","12033",15,0,"Pensacola",1,"10900"
"378","12033003301","2015_2019","12033",0,0,"Pensacola",1,"10900"
"379","12033003305","2010_2014","12033",17,0,"Pensacola",1,"10900"
"380","12033003305","2015_2019","12033",0,0,"Pensacola",1,"10900"
"381","12033003307","2010_2014","12033",2,0,"Pensacola",1,"10900"
"382","12033003307","2015_2019","12033",0,0,"Pensacola",1,"10900"
"383","12033003308","2010_2014","12033",22,0,"Pensacola",1,"10900"
"384","12033003308","2015_2019","12033",1,0,"Pensacola",1,"10900"
"385","12033003309","2010_2014","12033",6,0,"Pensacola",1,"10900"
"386","12033003309","2015_2019","12033",2,0,"Pensacola",1,"10900"
"387","12033003400","2010_2014","12033",24,0,"Pensacola",1,"10900"
"388","12033003400","2015_2019","12033",3,0,"Pensacola",1,"10900"
"389","12033003505","2010_2014","12033",3,0,"Pensacola",1,"10900"
"390","12033003505","2015_2019","12033",0,0,"Pensacola",1,"10900"
"391","12033003603","2010_2014","12033",16,0,"Pensacola",1,"10900"
"392","12033003603","2015_2019","12033",1,0,"Pensacola",1,"10900"
"393","12033003612","2010_2014","12033",52,1,"Pensacola",1,"10900"
"394","12033003612","2015_2019","12033",1,0,"Pensacola",1,"10900"
"395","12033003613","2010_2014","12033",1,0,"Pensacola",1,"10900"
"396","12033003613","2015_2019","12033",0,0,"Pensacola",1,"10900"
"397","12033003614","2010_2014","12033",2,0,"Pensacola",1,"10900"
"398","12033003614","2015_2019","12033",1,0,"Pensacola",1,"10900"
"399","12033002000","2010_2014","12033",7,0,"Pensacola",1,"10900"
"400","12033002000","2015_2019","12033",0,0,"Pensacola",1,"10900"
"401","12033003700","2010_2014","12033",4,0,"Pensacola",1,"10900"
"402","12033003700","2015_2019","12033",0,0,"Pensacola",1,"10900"
"403","12033003800","2010_2014","12033",1,0,"Pensacola",1,"10900"
"404","12033003800","2015_2019","12033",0,0,"Pensacola",1,"10900"
"405","12033003900","2010_2014","12033",1,0,"Pensacola",1,"10900"
"406","12033003900","2015_2019","12033",0,0,"Pensacola",1,"10900"
"407","12033004000","2010_2014","12033",0,0,"Pensacola",1,"10900"
