"","GEOID","Time.Period","County","Claims","Events","Commuting.Zone","Shoreline","cz","Income","Black","Hispanic","Pop.Density","Renters","Density","House.Age","Built","Flood.Factor","T","policies","aveUnits","Coverage","SFHA","Risk.Diff"
"11","01003010800","2010_2014","01003",15,0,"Mobile",1,11001,58841.2,28.2386072585704,0.572857644276416,1063.80827123577,29.8376653815617,"Low Density(Suburban)",1986,"1970-1989",0.082825203,0,637.6,2941,2.95571847745902,2.2103658,-6.0721545
"12","01003010800","2015_2019","01003",6,0,"Mobile",1,11001,56696,24.8761584491561,0.594526155847447,1051.60889782276,31.3777469889808,"Low Density(Suburban)",1988,"1970-1989",0.082825203,1,646,3094,2.84639565583043,2.2103658,-6.0721545
"13","01003010904","2010_2014","01003",28,1,"Mobile",1,11001,42770.2,2.39969092600805,1.94108615374001,62.6544940519671,12.978778046356,"Very Low Density(Rural)",1993,"After 89",0.110242872,0,177.2,3027,0.794644545748009,5.3854277,-5.6388595
"14","01003010904","2015_2019","01003",0,0,"Mobile",1,11001,50292.6,1.83521820376187,7.8424538265456,61.2344080614483,15.004089858998,"Very Low Density(Rural)",1994,"After 89",0.110242872,1,148.4,2955,0.681033321560031,5.3854277,-5.6388595
"15","01003010905","2010_2014","01003",37,1,"Mobile",1,11001,45072.2,6.97642340340337,8.58925667493377,265.266950833284,31.5213140181625,"Very Low Density(Rural)",1995,"After 89",0.07738815,0,89,3379,0.354929980386583,2.3579202,-5.3808948
"16","01003010905","2015_2019","01003",10,0,"Mobile",1,11001,46456.2,3.64266897536034,7.33985539433914,294.081472305496,33.3743238509794,"Very Low Density(Rural)",1995,"After 89",0.07738815,1,80.8,3823,0.283868096406987,2.3579202,-5.3808948
"17","01003010906","2010_2014","01003",0,0,"Mobile",1,11001,45875.2,1.28585079740399,3.53959471437883,290.130759463109,22.6879979520184,"Very Low Density(Rural)",1994,"After 89",0.048334115,0,37.4,1757,0.285930743585469,3.3317691,-1.5016424
"18","01003010906","2015_2019","01003",0,0,"Mobile",1,11001,43810.4,2.67267035687823,11.3575602043382,344.875639298316,27.3948424558929,"Very Low Density(Rural)",1994,"After 89",0.048334115,1,47.2,1892,0.335921482803307,3.3317691,-1.5016424
"19","01003011000","2010_2014","01003",74,1,"Mobile",1,11001,37040.6,3.88026346730192,4.75931195992866,79.3501630043314,19.2790468388573,"Very Low Density(Rural)",1992,"After 89",0.16350521,0,215.2,1964,1.49151641486236,7.2401817,-9.1103393
"20","01003011000","2015_2019","01003",1,0,"Mobile",1,11001,35767.2,4.1064679640983,9.6028886887596,84.5946501874365,18.5660661887726,"Very Low Density(Rural)",1992,"After 89",0.16350521,1,247.4,1945,1.73220256142904,7.2401817,-9.1103393
"21","01003011101","2010_2014","01003",7,0,"Mobile",1,11001,61069.8,3.13717601195716,3.94575527452174,707.951843697481,19.7240605865645,"Very Low Density(Rural)",1998,"After 89",0.057168299,0,174.8,3942,0.600780312403137,2.4577026,-3.2591273
"22","01003011101","2015_2019","01003",0,0,"Mobile",1,11001,67945.2,2.60352915265999,7.44388009371422,804.063645576605,18.9055200455604,"Very Low Density(Rural)",2001,"After 89",0.057168299,1,229.2,4481,0.693723756690402,2.4577026,-3.2591273
"23","01003011102","2010_2014","01003",66,1,"Mobile",1,11001,57848.8,1.13135933702623,3.87994979992055,231.929019185765,10.4042578733828,"Very Low Density(Rural)",2000,"After 89",0.151170799,0,225.2,1653,1.85563695821776,9.4352617,-5.6818182
"24","01003011102","2015_2019","01003",6,0,"Mobile",1,11001,61798.4,1.62968251686137,2.64002001681123,261.822457339711,10.1075053589482,"Very Low Density(Rural)",2000,"After 89",0.151170799,1,296.4,2072,1.94867222919061,9.4352617,-5.6818182
"25","01003011201","2010_2014","01003",6,0,"Mobile",1,11001,56422,2.9293969413499,0.609065123833577,907.692330014071,33.6016159820225,"Very Low Density(Rural)",1984,"1970-1989",0.100212314,0,217,2182,1.35329241761085,5.6900213,-4.3312101
"26","01003011201","2015_2019","01003",1,0,"Mobile",1,11001,60167.2,8.92800202841874,1.4974319130035,1043.26788526296,37.6645158074151,"Low Density(Suburban)",1990,"After 89",0.100212314,1,187.6,2612,0.976023797736529,5.6900213,-4.3312101
"27","01003011202","2010_2014","01003",5,0,"Mobile",1,11001,47748,19.390449518493,2.05894465994841,960.133469089424,30.5464804491304,"Very Low Density(Rural)",1972,"1970-1989",0.118593711,0,1573,2842,7.55332492233931,3.4662045,-8.3931666
"28","01003011202","2015_2019","01003",11,0,"Mobile",1,11001,53234.6,21.8813185416345,2.11608099269497,1166.77122378418,30.2369044868787,"Low Density(Suburban)",1976,"1970-1989",0.118593711,1,1584,3205,6.74416151980511,3.4662045,-8.3931666
"29","01003011300","2010_2014","01003",16,0,"Mobile",1,11001,55669.6,5.52898667023885,3.12930938378611,164.805749527692,14.4388778229475,"Very Low Density(Rural)",1993,"After 89",0.445145019,0,1620.6,2372,9.32494869959285,32.5598991,-11.9546028
"30","01003011300","2015_2019","01003",41,0,"Mobile",1,11001,69688.4,3.87098788143343,2.37707524429522,188.356090079895,14.8345771102655,"Very Low Density(Rural)",1992,"After 89",0.445145019,1,1289.2,2594,6.78192283519552,32.5598991,-11.9546028
"31","01003011401","2010_2014","01003",101,1,"Mobile",1,11001,44229.4,10.6043461960366,6.82044098646237,161.326721691466,14.6832966058643,"Very Low Density(Rural)",1992,"After 89",0.232589505,0,834.6,5114,2.22381417724372,16.6380578,-6.6208927
"32","01003011401","2015_2019","01003",2,0,"Mobile",1,11001,50651.6,6.95917040365853,6.36199743142654,169.636568029105,15.1515727546779,"Very Low Density(Rural)",1997,"After 89",0.232589505,1,853.2,5594,2.07799436006164,16.6380578,-6.6208927
"33","01003011403","2010_2014","01003",69,1,"Mobile",1,11001,45164.4,1.84920279356723,9.78350472672934,256.499022056709,46.422371263718,"Very Low Density(Rural)",2002,"After 89",0.217105263,0,1773.4,5741,4.21343879560578,16.5474829,-5.1630434
"34","01003011403","2015_2019","01003",6,0,"Mobile",1,11001,47993,2.19034757737846,5.59665775016458,311.546479762726,44.6242985152333,"Very Low Density(Rural)",2000,"After 89",0.217105263,1,1784.2,6112,3.98152345082398,16.5474829,-5.1630434
"35","01003011405","2010_2014","01003",291,1,"Mobile",1,11001,72307,0.148914698471787,5.26263488015618,643.549019124074,13.8286931952888,"Very Low Density(Rural)",1999,"After 89",0.584523594,0,9763,7642,17.440716039504,53.0645453,-5.3878141
"36","01003011405","2015_2019","01003",12,0,"Mobile",1,11001,76413.6,0.653112015972886,2.71727296127602,715.558704039025,17.3718972160233,"Very Low Density(Rural)",1999,"After 89",0.584523594,1,9105,8369,14.851620849308,53.0645453,-5.3878141
"37","01003011406","2010_2014","01003",120,1,"Mobile",1,11001,50637.2,0.416921449321335,10.785246241526,265.590468758921,52.479418338209,"Very Low Density(Rural)",1993,"After 89",0.515901981,0,10483,6555,21.8335674664032,43.117831,-8.47236709999999
"38","01003011406","2015_2019","01003",3,0,"Mobile",1,11001,50701.4,0,1.59217583634162,257.521590375063,47.5173462191172,"Very Low Density(Rural)",1995,"After 89",0.515901981,1,4700.2,7718,8.31131876055502,43.117831,-8.47236709999999
"39","01003011407","2010_2014","01003",69,1,"Mobile",1,11001,47232.2,0.086617611445297,1.22748684526419,392.677850126911,29.8274669610848,"Very Low Density(Rural)",1993,"After 89",0.602027883,0,12456.8,7001,24.2922517815515,60.1122579,-0.090530399999999
"40","01003011407","2015_2019","01003",4,0,"Mobile",1,11001,44817,0.02810741209119,2.1744679695766,384.384434956834,27.4833651031581,"Very Low Density(Rural)",1992,"After 89",0.602027883,1,8034.6,7359,14.904362999627,60.1122579,-0.090530399999999
"41","01003011408","2010_2014","01003",57,1,"Mobile",1,11001,56211,0,0,65.2385291740136,31.4287181505242,"Very Low Density(Rural)",1992,"After 89",0.76374878,0,4806.6,2758,23.7937724479731,72.6326066,-3.7422714
"42","01003011408","2015_2019","01003",56,2,"Mobile",1,11001,68433.8,0,1.52688172043011,62.4636264574106,19.8863076930638,"Very Low Density(Rural)",1993,"After 89",0.76374878,1,7335.6,2672,37.4843846861725,72.6326066,-3.7422714
"43","01003011501","2010_2014","01003",11,0,"Mobile",1,11001,38217.8,8.02503839910364,6.34436536224495,355.266298331779,31.9272295117259,"Very Low Density(Rural)",1989,"1970-1989",0.076668244,0,188.2,2646,0.966517825383107,0.4495977,-7.2172267
"44","01003011501","2015_2019","01003",0,0,"Mobile",1,11001,44687.4,9.18042423826207,4.92583048482405,413.942867527869,24.5485233312346,"Very Low Density(Rural)",1995,"After 89",0.076668244,1,199.2,3115,0.86850453820252,0.4495977,-7.2172267
"45","01003011502","2010_2014","01003",22,0,"Mobile",1,11001,41039.6,23.06137856264,8.21826424365359,504.449649370794,44.8617873460573,"Very Low Density(Rural)",1999,"After 89",0.079027798,0,387.8,5573,0.945478501964747,3.0563237,-4.8464561
"46","01003011502","2015_2019","01003",1,0,"Mobile",1,11001,40734.4,14.7345294216577,7.22128208201903,602.546785325525,39.2407489000406,"Very Low Density(Rural)",1997,"After 89",0.079027798,1,640.8,6424,1.35740118219508,3.0563237,-4.8464561
"47","01003011601","2010_2014","01003",66,1,"Mobile",1,11001,37324,0.414622895188946,9.12396250618881,72.1578962481366,24.8831611327873,"Very Low Density(Rural)",1992,"After 89",0.181317673,0,811.2,3140,3.5230608286793,16.1130483,-2.018719
"48","01003011601","2015_2019","01003",8,0,"Mobile",1,11001,46305.6,1.20188972113864,6.36068697617363,71.3451730265373,26.3307250572928,"Very Low Density(Rural)",1993,"After 89",0.181317673,1,698.6,3080,3.09256215957706,16.1130483,-2.018719
"49","01003011602","2010_2014","01003",16,0,"Mobile",1,11001,44655.8,3.09936341216337,2.2387491575403,171.934973566483,10.2727355543393,"Very Low Density(Rural)",1992,"After 89",0.139147219,0,946.4,3360,3.84154312996787,9.8613792,-4.0533427
"50","01003011602","2015_2019","01003",6,0,"Mobile",1,11001,47423,1.37507774828532,2.87859240224179,181.413456358306,8.95722011024692,"Very Low Density(Rural)",1990,"After 89",0.139147219,1,897.2,3317,3.68885756000501,9.8613792,-4.0533427
"51","01025957500","2010_2014","01025",0,0,"Mobile",0,11001,37476.4,14.3812480161723,0.142045454545454,14.5908137106692,19.8215527254422,"Very Low Density(Rural)",1983,"1970-1989",0.150197628,0,21,928,0.304270385946724,6.8181818,-8.201581
"52","01025957500","2015_2019","01025",10,0,"Mobile",0,11001,30392,26.4071306895406,0.430390144127771,13.5777361119957,19.8474599104101,"Very Low Density(Rural)",1979,"1970-1989",0.150197628,1,6,849,0.0917618523139096,6.8181818,-8.201581
"53","01025957800","2010_2014","01025",0,0,"Mobile",0,11001,23991.4,49.9638492571914,0.306718879520025,16.4292884583518,29.7575201179409,"Very Low Density(Rural)",1979,"1970-1989",0.133660331,0,4,2728,0.0152795359975431,5.502759,-7.8632741
"54","01097000200","2010_2014","01097",8,0,"Mobile",1,11001,26237,43.5966205244915,0,1373.0243227432,70.4133908191205,"Low Density(Suburban)",1967,"1950-1969",1,0,241.8,872,3.78182661790822,32.0707071,-67.9292929
"55","01097000200","2015_2019","01097",12,0,"Mobile",1,11001,30788.2,44.6085674576671,0.971041582363382,1655.52998975473,73.965902716726,"Low Density(Suburban)",1962,"1950-1969",1,1,348,887,5.35275185496486,32.0707071,-67.9292929
"56","01097000600","2010_2014","01097",1,0,"Mobile",1,11001,16038,97.4528549760356,0.779139101112649,3260.98816558789,55.5816587868736,"Moderate and High Density(Suburban and Urban)",1958,"1950-1969",0.36596218,0,75.6,1174,0.874602986860867,10.7897664,-25.8064516
"57","01097000600","2015_2019","01097",2,0,"Mobile",1,11001,20955.6,94.5577578586066,0.134529147982063,2426.15358135702,51.7299000419844,"Low Density(Suburban)",1964,"1950-1969",0.36596218,1,50,799,0.849790928278278,10.7897664,-25.8064516
"58","01097000701","2010_2014","01097",2,0,"Mobile",1,11001,25456,99.4056833838647,0.39754136356638,3928.35778345683,37.2032575854841,"Moderate and High Density(Suburban and Urban)",1955,"1950-1969",0.214563107,0,53,931,0.772635039514377,15.2427184,-6.2135923
"59","01097000701","2015_2019","01097",0,0,"Mobile",1,11001,27708.4,99.3953255790328,0.145113102859582,4467.52823623119,32.4491134466257,"Moderate and High Density(Suburban and Urban)",1961,"1950-1969",0.214563107,1,18.5,871,0.285298095107913,15.2427184,-6.2135923
"60","01097000800","2010_2014","01097",0,0,"Mobile",1,11001,30941.4,98.1906057863516,0.177901948756349,3697.94258193008,38.5656757047721,"Moderate and High Density(Suburban and Urban)",1959,"1950-1969",0.278191754,0,37.2,1938,0.257373952628654,8.8425236,-18.9766518
"61","01097000800","2015_2019","01097",4,0,"Mobile",1,11001,35568.6,91.7125935674806,1.80531649436602,3876.47073158304,45.8635787142101,"Moderate and High Density(Suburban and Urban)",1966,"1950-1969",0.278191754,1,11,2134,0.0656458148943047,8.8425236,-18.9766518
"62","01097000901","2010_2014","01097",1,0,"Mobile",1,11001,44360.6,34.8803829225464,3.63539992293702,2772.34284707378,48.025350782176,"Low Density(Suburban)",1939,"Before 1950",0.17630854,0,21,865,0.326776572224355,3.1680441,-14.4628099
"63","01097000901","2015_2019","01097",0,0,"Mobile",1,11001,46679.2,33.0997204534076,1.74182692821666,3094.19346015544,48.2365991928094,"Moderate and High Density(Suburban and Urban)",1948,"Before 1950",0.17630854,1,35.4,876,0.547086872671378,3.1680441,-14.4628099
"64","01097000902","2010_2014","01097",0,0,"Mobile",1,11001,45831.8,10.9980713121684,0.486037114573801,4555.14211518623,32.8489104028812,"Moderate and High Density(Suburban and Urban)",1939,"Before 1950",0.208972845,0,69.8,1066,0.889394493307835,0,-20.8972845
"65","01097000902","2015_2019","01097",0,0,"Mobile",1,11001,58285.8,13.0839235198099,1.89334919703642,4539.01853367009,36.0099165116768,"Moderate and High Density(Suburban and Urban)",0,"Before 1950",0.208972845,1,76,1128,0.915305205623882,0,-20.8972845
"66","01097001001","2010_2014","01097",0,0,"Mobile",1,11001,34051,39.4250705793729,2.39862301497657,4414.7445115521,65.5386947260544,"Moderate and High Density(Suburban and Urban)",1939,"Before 1950",0.641791045,0,16.6,969,0.229189320727113,0.4070556,-63.7720489
"67","01097001001","2015_2019","01097",0,0,"Mobile",1,11001,34801.8,46.7574137632371,2.46697480594942,4071.09960694085,62.9075892707972,"Moderate and High Density(Suburban and Urban)",1952,"1950-1969",0.641791045,1,15.8,1010,0.208876851854704,0.4070556,-63.7720489
"68","01097001002","2010_2014","01097",0,0,"Mobile",1,11001,43445.4,57.2906233609741,1.58555028298185,3812.88632763198,43.297685375068,"Moderate and High Density(Suburban and Urban)",1939,"Before 1950",0.684357542,0,37.6,1129,0.450035508607522,0,-68.4357542
"69","01097001002","2015_2019","01097",1,0,"Mobile",1,11001,47856.8,44.5272574631448,1.56786711897612,3132.37024690559,39.2822300579302,"Moderate and High Density(Suburban and Urban)",0,"Before 1950",0.684357542,1,35.6,1074,0.447895766041306,0,-68.4357542
"70","01097001100","2010_2014","01097",9,0,"Mobile",1,11001,23329.6,95.8969468472343,0.213715046235121,3821.54039345103,58.8270592178652,"Moderate and High Density(Suburban and Urban)",1975,"1970-1989",1,0,313.2,1036,4.12352737956604,0,-100
"71","01097001100","2015_2019","01097",0,0,"Mobile",1,11001,18669.4,93.344202416244,0.414675978611596,4009.69106139871,67.1005287243771,"Moderate and High Density(Suburban and Urban)",1978,"1970-1989",1,1,53,1093,0.657415220211221,0,-100
"72","01097001302","2010_2014","01097",0,0,"Mobile",1,11001,17062.4,97.2998908279553,0.923711231986771,4078.66350960274,40.4265606483168,"Moderate and High Density(Suburban and Urban)",1955,"1950-1969",0.445210728,0,47.2,1264,0.505175733679449,7.0498084,-37.4712644
"73","01097001302","2015_2019","01097",0,0,"Mobile",1,11001,27841.4,97.480867093691,0.53642186801728,3709.84243912421,45.9025300760371,"Moderate and High Density(Suburban and Urban)",1954,"1950-1969",0.445210728,1,20,1242,0.215151467833156,7.0498084,-37.4712644
"74","01097001800","2010_2014","01097",4,0,"Mobile",1,11001,44478.6,46.7200899300204,7.17458434564961,1087.16016451727,23.7929973988223,"Low Density(Suburban)",1972,"1970-1989",0.948477752,0,1241,1090,15.5424299107737,69.7111631,-25.1366121
"75","01097001800","2015_2019","01097",5,0,"Mobile",1,11001,32829.2,53.78970389578,4.66316374870149,1188.14069154043,28.0387385795589,"Low Density(Suburban)",1975,"1970-1989",0.948477752,1,855.4,1163,10.0390019191912,69.7111631,-25.1366121
"76","01097001901","2010_2014","01097",3,0,"Mobile",1,11001,36254,48.3085179533787,0.120986505351326,1012.92577226321,29.6787610906849,"Low Density(Suburban)",1965,"1950-1969",0.895300907,0,697.4,970,9.81310608068788,72.4649629,-17.0651278
"77","01097001901","2015_2019","01097",4,0,"Mobile",1,11001,41582.6,49.0203038460392,0.420214404191738,1067.00486874808,36.4457114801655,"Low Density(Suburban)",1973,"1970-1989",0.895300907,1,662,923,9.78930958609423,72.4649629,-17.0651278
"78","01097001902","2010_2014","01097",9,0,"Mobile",1,11001,37415,50.3913852429478,1.98447223221765,1692.77991880387,28.1766795702236,"Low Density(Suburban)",1966,"1950-1969",0.567852437,0,451.4,1473,4.179962922212,20.5533597,-36.231884
"79","01097001902","2015_2019","01097",10,0,"Mobile",1,11001,38994.6,52.2162649551434,3.28218667803874,1528.2716920771,36.9927733195467,"Low Density(Suburban)",1975,"1970-1989",0.567852437,1,363.6,1539,3.22145774094071,20.5533597,-36.231884
"80","01097002000","2010_2014","01097",12,0,"Mobile",1,11001,56898.4,38.3411470628782,2.38363584474333,536.179923839365,20.942145479038,"Very Low Density(Rural)",1977,"1970-1989",0.822429907,0,817.8,740,15.0863790502949,48.2582838,-33.9847069
"81","01097002000","2015_2019","01097",25,0,"Mobile",1,11001,71502.8,24.3422932324255,2.64683702559502,487.921385199842,16.8924171579628,"Very Low Density(Rural)",1975,"1970-1989",0.822429907,1,533.4,826,8.81343998365451,48.2582838,-33.9847069
"82","01097002100","2010_2014","01097",0,0,"Mobile",1,11001,36517.8,83.4461962524931,0,2493.29019310922,35.947325456895,"Low Density(Suburban)",1967,"1950-1969",0.139825218,0,20.4,1485,0.182846953242942,0.9987516,-12.9837702
"83","01097002100","2015_2019","01097",0,0,"Mobile",1,11001,36610.6,79.5122431922001,0.301658516589171,2165.53165637683,29.7831932278799,"Low Density(Suburban)",1970,"1970-1989",0.139825218,1,10,1532,0.084391694196911,0.9987516,-12.9837702
"84","01097002200","2010_2014","01097",3,0,"Mobile",1,11001,27610.6,75.9927294235837,0.833241263304632,2587.74824763801,27.1173119256382,"Low Density(Suburban)",1961,"1950-1969",0.376419214,0,86,1066,1.09691640450109,12.7510917,-24.8908297
"85","01097002200","2015_2019","01097",1,0,"Mobile",1,11001,29639.8,74.1812705349683,1.5786780495804,2513.98863304394,46.6519439494663,"Low Density(Suburban)",1965,"1950-1969",0.376419214,1,59.8,1077,0.753470579330151,12.7510917,-24.8908297
"86","01097002301","2010_2014","01097",7,0,"Mobile",1,11001,28333.8,84.1537841794588,3.88483040332653,3509.78979355283,51.0143949357268,"Moderate and High Density(Suburban and Urban)",1958,"1950-1969",0.413068845,0,47.4,1072,0.599052143676095,15.285881,-26.0210035
"87","01097002301","2015_2019","01097",3,0,"Mobile",1,11001,29511.6,92.3179715649772,0.7763669119167,3386.26161908641,41.9780837646406,"Moderate and High Density(Suburban and Urban)",1962,"1950-1969",0.413068845,1,18,1002,0.240564435638273,15.285881,-26.0210035
"88","01097002302","2010_2014","01097",1,0,"Mobile",1,11001,28234.6,97.2303889713116,0,3774.17342123109,36.8496372561611,"Moderate and High Density(Suburban and Urban)",1958,"1950-1969",0.104786546,0,12.75,828,0.20553107943802,1.9404916,-8.538163
"89","01097002400","2010_2014","01097",0,0,"Mobile",1,11001,32235.8,76.633162872662,4.16004803859228,3875.37635076739,43.2847268851542,"Moderate and High Density(Suburban and Urban)",1956,"1950-1969",0.227246377,0,14,1647,0.111332381826625,3.942029,-18.7826087
"90","01097002400","2015_2019","01097",2,0,"Mobile",1,11001,24273.8,80.9299719594151,2.6091786977201,3183.98680442187,44.67274072203,"Moderate and High Density(Suburban and Urban)",1958,"1950-1969",0.227246377,1,6,1679,0.044055401815543,3.942029,-18.7826087
"91","01097002501","2010_2014","01097",1,0,"Mobile",1,11001,61542.2,8.78053044899709,4.44051112294592,3308.80295589379,32.3866781607218,"Moderate and High Density(Suburban and Urban)",1948,"Before 1950",0.277956989,0,158.2,1932,1.11342087569905,2.9569892,-24.8387097
"92","01097002501","2015_2019","01097",0,0,"Mobile",1,11001,65803.4,6.97692000594066,4.5125584853496,3283.05571035492,34.1299674050529,"Moderate and High Density(Suburban and Urban)",1947,"Before 1950",0.277956989,1,137.8,1870,1.00152510200725,2.9569892,-24.8387097
"93","01097002502","2010_2014","01097",5,0,"Mobile",1,11001,58992.2,11.0435994827749,0.319889394516852,2951.84673277253,35.9048490050288,"Low Density(Suburban)",1948,"Before 1950",0.329598506,0,351.2,1303,3.67583669151713,21.4752568,-11.4845938
"94","01097002502","2015_2019","01097",5,0,"Mobile",1,11001,57705.6,13.1964174474137,1.20592379985804,2497.54632897253,42.466564602723,"Low Density(Suburban)",1944,"Before 1950",0.329598506,1,242,1196,2.75831699787056,21.4752568,-11.4845938
"95","01097002800","2010_2014","01097",3,0,"Mobile",1,11001,31092.4,40.4922475185098,2.51089113251649,3506.67548393668,59.9988721549281,"Moderate and High Density(Suburban and Urban)",1959,"1950-1969",0.147277228,0,209.2,2266,1.2559457592176,5.0123762,-9.7153466
"96","01097002800","2015_2019","01097",2,0,"Mobile",1,11001,32613.4,45.7486935549726,1.13348587474596,3559.28313157396,54.2687094275514,"Moderate and High Density(Suburban and Urban)",1962,"1950-1969",0.147277228,1,153.8,2320,0.900519310960883,5.0123762,-9.7153466
"97","01097002900","2010_2014","01097",0,0,"Mobile",1,11001,38202.8,46.3413204795121,4.8244349392128,2234.00523209475,41.742879588521,"Low Density(Suburban)",1969,"1950-1969",0.214382632,0,139.4,1763,1.07499046039568,6.5128901,-14.9253731
"98","01097002900","2015_2019","01097",0,0,"Mobile",1,11001,41040.6,42.6188565834524,6.09390958080009,2389.03427566216,51.0607399397505,"Low Density(Suburban)",1972,"1970-1989",0.214382632,1,105,2020,0.705070087038949,6.5128901,-14.9253731
"99","01097003100","2010_2014","01097",4,0,"Mobile",1,11001,60995.6,11.0038086738213,4.42182278838726,1877.65056792064,9.78459033633653,"Low Density(Suburban)",1966,"1950-1969",0.087189479,0,19.6,1954,0.13223072520912,0.1948368,-8.5241111
"100","01097003100","2015_2019","01097",0,0,"Mobile",1,11001,66398,10.8136759115175,4.10098639770155,1979.61280577427,16.9491148432817,"Low Density(Suburban)",1967,"1950-1969",0.087189479,1,20.6,1974,0.137760602195442,0.1948368,-8.5241111
"101","01097003204","2010_2014","01097",0,0,"Mobile",1,11001,36762,42.2501185887392,4.80900576558984,2957.7056157283,100,"Low Density(Suburban)",1977,"1970-1989",0.483483483,0,59,2159,0.368425840845434,0,-48.3483483
"102","01097003301","2010_2014","01097",5,0,"Mobile",1,11001,40651.4,17.3964748688361,3.75965373843717,3019.48313194736,73.3572150765315,"Moderate and High Density(Suburban and Urban)",1973,"1970-1989",0.227557411,0,270.4,1420,2.59556307584757,2.5052192,-20.2505219
"103","01097003301","2015_2019","01097",11,0,"Mobile",1,11001,42132.4,29.8867453986426,4.26348621227997,3106.82452071947,78.1865171166145,"Moderate and High Density(Suburban and Urban)",1972,"1970-1989",0.227557411,1,202.2,1491,1.84712329472579,2.5052192,-20.2505219
"104","01097003302","2010_2014","01097",1,0,"Mobile",1,11001,70891,7.09004056805003,8.12086698013056,2125.32560519837,31.2944531601718,"Low Density(Suburban)",1976,"1970-1989",0.111640572,0,83.8,1877,0.604914339075733,3.4717495,-7.6923077
"105","01097003302","2015_2019","01097",1,0,"Mobile",1,11001,75368.2,10.2520335553896,5.76288198500009,1901.60712044065,35.5642528537694,"Low Density(Suburban)",1974,"1970-1989",0.111640572,1,144,2009,0.974045028511128,3.4717495,-7.6923077
"106","01097003406","2010_2014","01097",1,0,"Mobile",1,11001,42287.6,46.3423020518538,2.74156078452767,1940.84256525202,29.8594452029379,"Low Density(Suburban)",1965,"1950-1969",0.043818466,0,44.8,1213,0.499596815105154,1.1737089,-3.2081377
"107","01097003406","2015_2019","01097",0,0,"Mobile",1,11001,41530.2,50.8354462095469,1.3064760201947,2229.3173592236,33.3927283557731,"Low Density(Suburban)",1967,"1950-1969",0.043818466,1,40,1297,0.416396556940363,1.1737089,-3.2081377
"108","01097003501","2010_2014","01097",0,0,"Mobile",1,11001,63170.8,13.1474637834342,0.577520291115209,1861.09530518289,22.1660543406279,"Low Density(Suburban)",1962,"1950-1969",0.069807037,0,12,1700,0.0916483170475924,0.6242906,-6.3564131
"109","01097003501","2015_2019","01097",1,0,"Mobile",1,11001,66213.8,13.5698071644075,4.42708995830631,1858.53398409805,27.9136829523037,"Low Density(Suburban)",1966,"1950-1969",0.069807037,1,18.5,1623,0.150910543160272,0.6242906,-6.3564131
